trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2023-06-24 00:00:00 +0000 +0000,1,53,33.1959798994974874
2018-06-03 00:00:00 +0000 +0000,1,45,12.3205574912891986
2016-05-04 00:00:00 +0000 +0000,4,65,36.7291666666666667
2018-06-27 00:00:00 +0000 +0000,1,58,26.2077464788732394
2021-06-18 00:00:00 +0000 +0000,1,78,36.3541666666666667
2023-04-21 00:00:00 +0000 +0000,1,83,42.0408496732026144
2019-07-19 00:00:00 +0000 +0000,1,49,25.7187500000000000
2018-12-21 00:00:00 +0000 +0000,1,69,27.0833333333333333
2019-07-15 00:00:00 +0000 +0000,2,31,16.5000000000000000
2022-08-05 00:00:00 +0000 +0000,1,69,28.8738792588164973
2021-07-19 00:00:00 +0000 +0000,1,62,8.5524193548387097
2017-03-30 00:00:00 +0000 +0000,1,59,27.6491228070175439
2022-09-02 00:00:00 +0000 +0000,1,72,31.2799511002444988
2020-12-18 00:00:00 +0000 +0000,4,72,33.3645833333333333
2015-10-01 00:00:00 +0000 +0000,1,65,29.0557491289198606
2018-11-09 00:00:00 +0000 +0000,1,67,29.0209059233449477
2015-11-19 00:00:00 +0000 +0000,1,80,35.6853146853146853
2022-10-18 00:00:00 +0000 +0000,1,83,30.5544239338001273
2018-01-11 00:00:00 +0000 +0000,1,71,29.7132867132867133
2022-06-16 00:00:00 +0000 +0000,1,72,29.5397902529302899
2021-08-23 00:00:00 +0000 +0000,1,62,28.6736111111111111
2020-11-09 00:00:00 +0000 +0000,1,63,24.9270833333333333
2019-07-05 00:00:00 +0000 +0000,1,56,27.1423611111111111
2016-10-14 00:00:00 +0000 +0000,1,72,31.3449477351916376
2018-12-06 00:00:00 +0000 +0000,4,71,38.7924528301886792
2023-05-20 00:00:00 +0000 +0000,1,56,24.6275071633237822
2017-12-02 00:00:00 +0000 +0000,1,57,23.8838028169014085
2017-01-03 00:00:00 +0000 +0000,2,62,23.6759581881533101
2022-04-01 00:00:00 +0000 +0000,1,72,31.9987908101571947
2018-08-02 00:00:00 +0000 +0000,1,56,25.5191637630662021
2015-08-29 00:00:00 +0000 +0000,1,65,33.5069444444444444
2015-08-23 00:00:00 +0000 +0000,2,36,17.3819444444444444
2022-12-08 00:00:00 +0000 +0000,1,81,35.2808132147395172
2018-05-13 00:00:00 +0000 +0000,1,53,27.0975609756097561
2023-09-19 00:00:00 +0000 +0000,1,72,32.3633986928104575
2019-05-27 00:00:00 +0000 +0000,1,60,24.8736842105263158
2024-04-18 00:00:00 +0000 +0000,1,72,35.5533854166666667
2017-10-14 00:00:00 +0000 +0000,1,54,27.9790940766550523
2017-07-22 00:00:00 +0000 +0000,1,49,24.7126865671641791
2023-04-12 00:00:00 +0000 +0000,1,89,34.8964912280701754
2020-11-02 00:00:00 +0000 +0000,1,65,26.6111111111111111
2023-09-23 00:00:00 +0000 +0000,2,63,40.9653379549393414
2022-10-20 00:00:00 +0000 +0000,1,80,30.9681908548707753
2018-11-06 00:00:00 +0000 +0000,1,60,26.2777777777777778
2023-10-01 00:00:00 +0000 +0000,1,71,29.9530638852672751
2015-12-05 00:00:00 +0000 +0000,1,72,31.0277777777777778
2015-11-18 00:00:00 +0000 +0000,1,74,31.5783972125435540
2022-01-14 00:00:00 +0000 +0000,4,63,27.1909722222222222
2022-04-22 00:00:00 +0000 +0000,1,71,27.2612667478684531
2020-03-22 00:00:00 +0000 +0000,1,87,4.9444444444444444
2019-03-09 00:00:00 +0000 +0000,1,53,23.3298611111111111
2023-01-17 00:00:00 +0000 +0000,1,81,33.6688567674113009
2019-02-21 00:00:00 +0000 +0000,1,63,27.6250000000000000
2024-04-19 00:00:00 +0000 +0000,1,85,41.9476248477466504
2021-03-13 00:00:00 +0000 +0000,2,72,31.7847222222222222
2018-09-03 00:00:00 +0000 +0000,1,58,25.1324041811846690
2015-12-03 00:00:00 +0000 +0000,1,78,34.7929824561403509
2018-12-24 00:00:00 +0000 +0000,1,65,27.3715277777777778
2018-12-26 00:00:00 +0000 +0000,1,60,28.1328671328671329
2015-12-11 00:00:00 +0000 +0000,2,83,43.0736842105263158
2024-05-20 00:00:00 +0000 +0000,1,74,33.2438709677419355
2021-07-12 00:00:00 +0000 +0000,1,62,29.4947735191637631
2021-01-09 00:00:00 +0000 +0000,4,18,11.7500000000000000
2019-08-13 00:00:00 +0000 +0000,1,22,9.8541666666666667
2017-03-08 00:00:00 +0000 +0000,1,59,28.9687500000000000
2015-11-08 00:00:00 +0000 +0000,1,51,16.5379310344827586
2017-05-13 00:00:00 +0000 +0000,1,57,29.0283687943262411
2018-08-13 00:00:00 +0000 +0000,1,47,21.4390243902439024
2018-01-08 00:00:00 +0000 +0000,1,54,21.5644599303135889
2023-12-24 00:00:00 +0000 +0000,1,62,19.9573901464713715
2020-06-07 00:00:00 +0000 +0000,1,24,10.9392712550607287
2016-07-03 00:00:00 +0000 +0000,1,29,8.9163763066202091
2020-09-16 00:00:00 +0000 +0000,2,60,27.8850574712643678
2015-11-14 00:00:00 +0000 +0000,1,78,32.5868055555555556
2021-09-25 00:00:00 +0000 +0000,1,65,33.7935943060498221
2021-01-01 00:00:00 +0000 +0000,1,18,5.8229166666666667
2023-01-11 00:00:00 +0000 +0000,1,80,33.5992414664981037
2021-12-12 00:00:00 +0000 +0000,1,62,24.1533101045296167
2021-08-26 00:00:00 +0000 +0000,1,69,32.3923611111111111
2022-03-18 00:00:00 +0000 +0000,8,63,34.8819444444444444
2019-02-28 00:00:00 +0000 +0000,2,56,25.2891986062717770
2024-02-27 00:00:00 +0000 +0000,1,81,35.2431011826544021
2021-06-22 00:00:00 +0000 +0000,1,71,32.9823943661971831
2017-07-10 00:00:00 +0000 +0000,13,53,27.7797619047619048
2020-10-30 00:00:00 +0000 +0000,1,71,29.2361111111111111
2019-11-15 00:00:00 +0000 +0000,4,72,32.8194444444444444
2023-09-17 00:00:00 +0000 +0000,1,54,24.9331476323119777
2016-05-30 00:00:00 +0000 +0000,2,72,41.5192982456140351
2021-02-17 00:00:00 +0000 +0000,9,71,27.7042253521126761
2022-08-25 00:00:00 +0000 +0000,1,63,30.1102502979737783
2017-02-05 00:00:00 +0000 +0000,4,47,22.0659722222222222
2022-05-20 00:00:00 +0000 +0000,1,63,28.8071428571428571
2023-08-25 00:00:00 +0000 +0000,1,69,31.3083109919571046
2022-08-06 00:00:00 +0000 +0000,1,53,24.2366412213740458
2022-12-06 00:00:00 +0000 +0000,1,76,33.5334158415841584
2018-01-13 00:00:00 +0000 +0000,1,49,24.9860627177700348
2019-08-03 00:00:00 +0000 +0000,1,40,20.0868055555555556
2021-11-08 00:00:00 +0000 +0000,1,72,31.2500000000000000
2024-01-03 00:00:00 +0000 +0000,1,72,39.1666666666666667
2019-01-15 00:00:00 +0000 +0000,6,76,34.0279720279720280
2023-12-17 00:00:00 +0000 +0000,1,63,21.5903030303030303
2022-07-09 00:00:00 +0000 +0000,1,45,16.4137071651090343
2016-12-23 00:00:00 +0000 +0000,9,72,37.7922535211267606
2023-02-18 00:00:00 +0000 +0000,1,62,24.9436090225563910
2020-11-01 00:00:00 +0000 +0000,1,35,16.1979166666666667
2020-01-20 00:00:00 +0000 +0000,11,74,38.3159722222222222
2016-05-24 00:00:00 +0000 +0000,4,71,38.6354166666666667
2024-03-13 00:00:00 +0000 +0000,1,71,29.5975308641975309
2020-11-25 00:00:00 +0000 +0000,4,58,26.8680555555555556
2019-12-25 00:00:00 +0000 +0000,4,72,33.3736654804270463
2021-05-06 00:00:00 +0000 +0000,1,33,12.5574912891986063
2023-03-06 00:00:00 +0000 +0000,1,72,27.9227053140096618
2017-04-18 00:00:00 +0000 +0000,2,59,29.0214285714285714
2024-02-07 00:00:00 +0000 +0000,1,83,35.2476319350473613
2016-10-06 00:00:00 +0000 +0000,1,67,28.4041811846689895
2018-02-16 00:00:00 +0000 +0000,1,74,31.8531468531468531
2024-03-17 00:00:00 +0000 +0000,1,42,15.3415061295971979
2018-11-08 00:00:00 +0000 +0000,1,65,27.3832752613240418
2016-07-28 00:00:00 +0000 +0000,4,65,34.9473684210526316
2021-07-20 00:00:00 +0000 +0000,1,31,10.4904214559386973
2017-03-24 00:00:00 +0000 +0000,1,59,27.3496503496503497
2017-04-25 00:00:00 +0000 +0000,1,54,26.7617328519855596
2023-11-13 00:00:00 +0000 +0000,1,85,42.9497964721845319
2019-10-01 00:00:00 +0000 +0000,1,67,27.5277777777777778
2017-08-12 00:00:00 +0000 +0000,1,44,22.5703971119133574
2019-08-14 00:00:00 +0000 +0000,1,18,7.5694444444444444
2018-09-22 00:00:00 +0000 +0000,24,53,39.6052631578947368
2019-12-17 00:00:00 +0000 +0000,4,67,31.5555555555555556
2023-12-26 00:00:00 +0000 +0000,1,80,35.2679640718562874
2020-12-11 00:00:00 +0000 +0000,6,74,36.4687500000000000
2024-01-15 00:00:00 +0000 +0000,1,74,31.5006418485237484
2015-11-12 00:00:00 +0000 +0000,1,72,33.2781690140845070
2024-04-20 00:00:00 +0000 +0000,1,72,35.4450194049159120
2019-06-16 00:00:00 +0000 +0000,1,44,20.2996515679442509
2015-11-03 00:00:00 +0000 +0000,1,71,32.2439024390243902
2019-02-24 00:00:00 +0000 +0000,13,33,23.4097222222222222
2015-09-18 00:00:00 +0000 +0000,4,76,38.1672473867595819
2018-11-30 00:00:00 +0000 +0000,11,78,38.9201388888888889
2020-08-05 00:00:00 +0000 +0000,1,51,20.9756944444444444
2016-01-26 00:00:00 +0000 +0000,4,72,37.1180555555555556
2020-08-17 00:00:00 +0000 +0000,1,58,26.4612676056338028
2021-11-20 00:00:00 +0000 +0000,1,67,33.5069444444444444
2018-12-17 00:00:00 +0000 +0000,1,65,26.5454545454545455
